lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95,date,epiweek
88514.50993252912,90532.34696090377,92612.256471237,95461.34319901295,97695.40145091704,99034.98393053182,99645.42125981039,99827.42180756891,99915.01989977721,2021-01-23,2021-01-10
85306.03398077437,87838.26355801262,90470.45423013088,94112.27739469452,96997.12413756292,98739.19555446356,99536.08821286436,99774.04850891494,99888.64066543042,2021-01-30,2021-01-10
79192.39061674787,82637.17102903046,86279.77803418976,91424.09052545145,95585.79338635776,98136.26036000178,99312.3609278018,99664.70535324345,99834.56901488519,2021-02-06,2021-01-10
91943.8723035659,93388.43437201221,94864.04663428028,96863.88232056027,98415.10900422235,99338.29171069563,99757.27383305636,99881.98743362875,99941.97942004108,2021-01-23,2021-01-17
85772.08189621259,88225.74167762155,90775.33632347324,94301.5753489738,97093.98831548574,98779.94238360238,99551.10153965632,99781.37057591353,99892.25786980183,2021-01-30,2021-01-17
81915.49128639599,84954.94333413175,88148.20803966708,92623.43884379143,96215.79601282692,98405.48822423775,99412.27578521235,99713.53921291287,99858.71851212093,2021-02-06,2021-01-17
71893.00266817195,76278.33496725418,81028.78415685106,87939.4515215893,93706.48433902761,97320.25741242549,99007.31322135177,99515.28679526907,99760.6004816672,2021-02-13,2021-01-17
91669.8819724925,93158.65888654382,94681.63248312038,96749.22799282293,98355.87089951063,99313.22715978426,99748.0141160725,99877.46775823117,99939.74578047179,2021-01-30,2021-01-24
86815.1209254939,89103.70528257854,91475.17521838553,94744.0839010228,97323.75954028626,98877.46469067819,99587.18191447924,99798.98885693212,99900.96667906162,2021-02-06,2021-01-24
75806.19980261552,79699.16361021293,83864.01942408555,89830.73725596277,94730.77246186638,97766.1558924826,99174.20284882946,99597.06192312749,99801.08961991937,2021-02-13,2021-01-24
71834.74183792737,76237.03739946622,81002.9352476981,87930.0428247735,93704.80066305494,97320.43210364429,99007.53509930709,99515.4184800984,99760.67116596768,2021-02-20,2021-01-24
91167.78483115381,92741.79256936543,94354.00013599178,96546.02017535418,98251.933036672,99269.50821965896,99731.90557772704,99869.61148485384,99935.8646825905,2021-02-06,2021-01-31
85722.29928685326,88174.14891928186,90726.39191905317,94264.01466815901,97071.86446232708,98769.89912784462,99547.2770180905,99779.48728367209,99891.32320388609,2021-02-13,2021-01-31
78259.15206722704,81789.80292776038,85551.49961881961,90915.61912048892,95301.24897286802,98010.08222508864,99264.74931441771,99641.3199547119,99822.97697900828,2021-02-20,2021-01-31
65830.38694852211,70841.9914905117,76402.84086465242,84740.2215186034,91924.35277586605,96531.34988918944,98709.7958386903,99369.17576023818,99688.17842258248,2021-02-27,2021-01-31
89566.38251341297,91401.70263644062,93292.27532714595,95880.32232474061,97908.57032926516,99124.3600047627,99678.30386833573,99843.45187870655,99922.9372965383,2021-02-13,2021-02-07
78033.60449663897,81589.3196878529,85382.83705641502,90801.20702575122,95238.64970602526,97982.69778893687,99254.48026127144,99636.28547835579,99820.48362843052,2021-02-20,2021-02-07
65513.717830436326,70545.72551497651,76139.37450150386,84546.00956302593,91809.9850250465,96478.82211103998,98689.62926625455,99359.21764628992,99683.22941356066,2021-02-27,2021-02-07
