date,epiweek,horizon,lower_95,pred,upper_95
2020-08-08,2020-07-30,1,398565.69142246,459351.160245511,721915.936426721
2020-08-08,2020-07-31,1,412160.942006432,438013.991425993,469201.061033502
2020-08-08,2020-08-01,1,434107.012432473,455440.8189700295,477341.11369
2020-08-08,2020-08-02,1,416171.0587896515,449811.25,564670.178268238
2020-08-08,2020-08-03,1,362875.730003728,403733.0,490742.269996272
2020-08-15,2020-07-16,4,61022.3661034944,267697.243155885,916743.549782627
2020-08-15,2020-07-17,4,445492.538499899,712946.519469551,1186191.38619387
2020-08-15,2020-07-19,4,325511.975,527100.505472563,762263.6940823655
2020-08-15,2020-07-20,4,247306.3769930685,446898.6639457115,852816.7277734606
2020-08-15,2020-07-21,3,54107.0745228492,354234.128272819,2106988.82123048
2020-08-15,2020-07-22,3,341412.744418604,373284.710440271,413281.516231913
2020-08-15,2020-07-23,3,95397.790376811,377471.960672447,938003.433267925
2020-08-15,2020-07-24,3,363324.108445568,401770.453889046,444905.350712736
2020-08-15,2020-07-26,3,402310.5125,514788.155,721962.997601409
2020-08-15,2020-07-27,3,286545.0,404586.0,623369.788861298
2020-08-15,2020-07-28,2,306117.792795914,337112.391080006,370341.128097682
2020-08-15,2020-07-29,2,309968.508028842,338261.912158212,373619.502588094
2020-08-15,2020-07-30,2,354759.510878517,384856.668295165,823153.40312108
2020-08-15,2020-07-31,2,377014.365682859,404865.919483382,439690.784811212
2020-08-15,2020-08-01,2,541225.72579076,564679.0037588285,589122.9005663745
2020-08-15,2020-08-02,2,371555.015642158,419004.035201082,579325.2327275005
2020-08-15,2020-08-03,2,325323.702484411,384537.13,506154.297515589
2020-08-15,2020-08-06,1,254699.0,373085.0,640460.0
2020-08-15,2020-08-09,1,283937.8395,363402.38,485766.351784865
2020-08-15,2020-08-10,1,308971.0,375174.0,444783.0
2020-08-22,2020-07-21,4,25749.4332046121,342770.191488491,2904367.18421309
2020-08-22,2020-07-22,4,305085.907255612,337627.992328746,378430.724104105
2020-08-22,2020-07-23,4,67180.1578148827,338481.275047268,1015513.37247282
2020-08-22,2020-07-24,4,326087.857868512,365001.166901342,409612.153300625
2020-08-22,2020-07-26,4,394485.8875,507269.164798297,736029.2513450255
2020-08-22,2020-07-27,4,243847.0,397303.0,627631.560523567
2020-08-22,2020-07-28,3,274846.383001905,306438.413602514,341395.642800943
2020-08-22,2020-07-29,3,276692.043715634,304600.337574697,340889.279142459
2020-08-22,2020-07-30,3,312740.996110432,344571.364532288,873268.688380152
2020-08-22,2020-07-31,3,339938.527935002,368261.598013976,404331.570617005
2020-08-22,2020-08-01,3,1812310.563706609,1836913.2483638455,1862846.6586544944
2020-08-22,2020-08-02,3,343643.125750546,399586.6310720765,588291.591783902
2020-08-22,2020-08-03,3,293173.328072438,400484.91,515249.567345643
2020-08-22,2020-08-06,2,201189.0,392995.0,962141.0
2020-08-22,2020-08-09,2,223764.58222775848,338353.70420991,484359.2041088135
2020-08-22,2020-08-10,2,268931.0,361943.0,484360.0
2020-08-22,2020-08-13,1,197425.5381059465,356051.536527921,618082.649185598
2020-08-22,2020-08-16,1,310688.99892779405,344662.795806808,405934.62449701445
2020-08-22,2020-08-17,1,293150.980006566,328712.0,405935.0
2020-08-29,2020-07-28,4,245284.148356626,276569.028824367,311466.966364277
2020-08-29,2020-07-29,4,244540.340006967,271569.784103716,306923.635669361
2020-08-29,2020-07-30,4,274149.12648356,306456.211519785,895356.476456607
2020-08-29,2020-07-31,4,301893.421545078,329341.288421821,364411.016222533
2020-08-29,2020-08-01,4,8262246.649317059,8286920.941185777,8313153.621207556
2020-08-29,2020-08-02,4,315089.752470689,386086.071898725,581876.4952083579
2020-08-29,2020-08-03,4,263087.460007456,390954.0,521565.543191227
2020-08-29,2020-08-06,3,182200.0,409548.0,1150817.0
2020-08-29,2020-08-09,3,178190.3037936415,324113.4778900005,495097.1477641425
2020-08-29,2020-08-10,3,220181.0,340740.0,510113.0
2020-08-29,2020-08-13,2,158786.2715132841,367840.489839543,824415.013274678
2020-08-29,2020-08-16,2,273189.5,317047.74,415900.36267381103
2020-08-29,2020-08-17,2,251424.0,301011.0,415901.0
2020-08-29,2020-08-20,1,178189.324423651,305035.56129189103,500795.03820497904
2020-08-29,2020-08-23,1,248098.7975,282628.499668408,345561.068144337
2020-08-29,2020-08-24,1,237779.0,275395.0,310432.964959175
2020-09-05,2020-08-06,4,176514.0,414734.0,1202474.70525446
2020-09-05,2020-08-09,4,168030.9997737215,382182.85750000004,556740.625
2020-09-05,2020-08-10,4,186399.0,320335.0,538208.0
2020-09-05,2020-08-13,3,138177.2924039465,365095.9956089755,936609.8919726841
2020-09-05,2020-08-16,3,247092.043527256,295759.32999999996,426066.8791975385
2020-09-05,2020-08-17,3,214636.506602399,276202.0,426067.0
2020-09-05,2020-08-20,2,134102.34949722645,292422.422099509,646452.699983147
2020-09-05,2020-08-23,2,216046.6092940575,271029.810410253,367226.65
2020-09-05,2020-08-24,2,199346.0,242702.0,346516.591811921
2020-09-05,2020-08-27,1,122117.601286239,268509.010131769,421806.500726355
2020-09-05,2020-08-30,1,230130.55,278969.481684902,337332.1
2020-09-05,2020-08-31,1,223480.0,272579.094946493,316897.815442496
2020-09-12,2020-08-13,4,126356.32069944445,349127.72974503296,964451.2626890675
2020-09-12,2020-08-16,4,232530.3204366845,273374.455,416210.5499067035
2020-09-12,2020-08-17,4,182809.960013132,250446.0,416211.0
2020-09-12,2020-08-20,3,109993.70632093945,280178.832706955,731257.7882265605
2020-09-12,2020-08-23,3,192177.40534367552,271799.1245875795,366313.65
2020-09-12,2020-08-24,3,179379.92210764,213961.0,363468.726829884
2020-09-12,2020-08-27,2,78796.1573078913,220380.699762928,436574.933752841
2020-09-12,2020-08-30,2,204336.0,267282.021721496,340067.0
2020-09-12,2020-08-31,2,193173.0,267378.0,346528.0
2020-09-12,2020-09-03,1,158126.29088597652,276348.5007697755,450175.5717841815
2020-09-12,2020-09-06,1,240439.947669008,277308.8520302255,326585.17799999996
2020-09-12,2020-09-07,1,219321.0,271157.800168426,314747.275622898
2020-09-19,2020-08-20,4,97996.70931672395,265615.1285512495,752479.3931945405
2020-09-19,2020-08-23,4,176983.585826237,266683.567883014,371130.5125
2020-09-19,2020-08-24,4,154857.965965789,188548.0,357211.199917359
2020-09-19,2020-08-27,3,50171.3022973798,177332.34218784,429239.641281327
2020-09-19,2020-08-30,3,194106.0,268820.545916015,318380.0
2020-09-19,2020-08-31,3,164821.79095,251458.0,361392.0
2020-09-19,2020-09-03,2,132980.17286488233,288959.148360595,619167.358937725
2020-09-19,2020-09-06,2,211792.2125,272728.56176891446,334902.8
2020-09-19,2020-09-07,2,190241.6084,269931.821858089,328675.4099397345
2020-09-19,2020-09-10,1,93132.348606298,201641.60060262,325301.179522273
2020-09-19,2020-09-13,1,201856.753059746,245480.40744313202,296618.5
2020-09-19,2020-09-14,1,196505.0,238412.5,291737.4969249995
2020-09-26,2020-08-27,4,33381.925622317,145326.55627738,417485.768595703
2020-09-26,2020-08-30,4,186218.466,249634.933760642,322478.4
2020-09-26,2020-08-31,4,153241.0,232644.0,359334.0
2020-09-26,2020-09-03,3,118490.6468387403,289102.4708656735,704043.3009088925
2020-09-26,2020-09-06,3,196768.2818340225,266305.722179626,333712.45
2020-09-26,2020-09-07,3,153843.039125,262472.2328667395,323300.54816435603
2020-09-26,2020-09-10,2,59452.4923916724,162499.760722035,339172.286513883
2020-09-26,2020-09-13,2,177119.941,240841.5257380575,306920.0625
2020-09-26,2020-09-14,2,175828.0,237042.0,309030.96673750004
2020-09-26,2020-09-17,1,106859.376485514,219892.023488522,351377.619334899
2020-09-26,2020-09-20,1,213261.36715398752,265469.2111857635,311539.283414995
2020-09-26,2020-09-21,1,210294.0,265469.0,322901.49936250004
2020-10-03,2020-09-03,4,109198.2901569109,276476.891707699,728687.3078072874
