lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95,date,epiweek
702142.7980051402,703254.2615872006,704537.8916821785,706688.0118282302,709084.6477781794,711489.4115918824,713660.7464989569,714963.371256243,716095.1292859718,2021-02-13,2021-02-07
616051.5866821703,618482.3636183037,621296.7997720138,626028.207935419,631327.4146745983,636671.4781657713,641519.9702718086,644439.2402524387,646982.0273758053,2021-02-20,2021-02-07
579327.0404112116,590011.3817183849,602574.5278352153,624166.7824254545,649065.9435785107,674958.3780738565,699144.3873788683,714031.3088308257,727199.9574099449,2021-02-27,2021-02-07
498285.6670574926,512918.0159225182,530322.2513269724,560731.7821881546,596568.2750894201,634695.0862217137,671089.5233089858,693860.8038617376,714236.2912921249,2021-03-06,2021-02-07
638532.8644390252,642452.4336067052,647001.3158458001,654674.2861058973,663306.2778164641,672052.083804562,680022.138155267,684837.0325577676,689040.8351608758,2021-02-20,2021-02-14
516374.69717216154,524833.7299577574,534758.578046566,551763.1530304776,571291.3579963045,591510.7123929929,610319.9258878304,621861.357400811,632048.4282219725,2021-02-27,2021-02-14
437368.6895862539,448977.26870145416,462744.13048809697,486696.389060574,514765.8531625719,544454.1803436532,572635.8609944738,590194.4308864123,605859.2896369937,2021-03-06,2021-02-14
375639.4425265854,388807.92993851635,404564.30600113986,432330.27490405645,465420.75411378127,501043.97247662744,535431.5127326892,557129.784863429,576660.6320754245,2021-03-13,2021-02-14
439171.7529177332,439972.6149397794,440897.7702680584,442448.0074555658,444176.82689950475,445912.4015251134,447480.270618202,448421.21271915257,449238.941812066,2021-02-27,2021-02-21
417391.91942373244,418992.4317681107,420845.33842210076,423959.7676039497,427447.1621766744,430963.2432471171,434152.54910020187,436072.4982116449,437744.64226607507,2021-03-06,2021-02-21
464289.61754068965,467286.4633429186,470765.64996706124,476637.12062140845,483246.6728336132,489947.8800566339,496058.59480422316,499752.00465711526,502977.74919399567,2021-03-13,2021-02-21
455822.5430875649,459519.5613575595,463819.21664112515,471093.71682864963,479310.0973648477,487669.78040478134,495318.3507565989,499952.96991750225,504007.91474625765,2021-03-20,2021-02-21
448692.66573886585,449288.3294162218,449976.07298452867,451127.61238949845,452410.51267878944,453697.0612332432,454858.12306585105,455554.39253948093,456159.16552869143,2021-03-06,2021-02-28
431276.52822782216,432475.27512007154,433861.4893852107,436187.7149437021,438786.95076020213,441401.6753825495,443768.3289896508,445190.7409134113,446428.1628044683,2021-03-13,2021-02-28
346375.5994484452,354076.77345148067,363168.48042644636,378884.2585943762,397144.4840764817,416284.75624063826,434299.09183519887,445450.6848752332,455354.65397541836,2021-03-20,2021-02-28
337258.7242345913,345688.4488361615,355669.2117920937,372993.8212011676,393234.1692087835,414572.85092645965,434766.6503214591,447319.290979868,458499.9607771808,2021-03-27,2021-02-28
378562.5250822046,379204.7221296818,379946.4864025409,381189.18126925174,382574.6728119117,383965.2001397122,385221.0390546264,385974.57187541935,386629.3427891695,2021-03-13,2021-03-07
